Orlovski Tiit,0:30:59,1:05:56,1:32:02,1:54:03,2:14:44,2:34:14,3:00:59.3
Hussar Kaidar,0:31:01,1:05:23,1:31:39,1:54:06,2:12:50,2:33:02,3:01:01.5
Kalda Kalev,0:32:38,1:06:32,1:32:22,1:54:07,2:14:26,2:34:07,3:01:03.3
Kaegas Roger,0:30:59,1:04:22,1:30:38,1:52:26,2:14:49,2:33:02,3:01:04.8
Siilak Avo,0:31:45,1:05:58,1:32:27,1:54:38,2:14:55,2:34:27,3:01:06.3
Ridamäe Aivar,0:32:28,1:05:58,1:32:01,1:54:02,2:14:28,2:34:07,3:01:06.6
Prisivko Vadim,0:32:43,1:04:31,1:30:35,1:52:46,2:13:38,2:34:03,3:01:08.8
Karas Michael,0:32:50,1:05:51,1:32:02,1:53:03,2:12:58,2:33:14,3:01:08.9
Hummal Erkki ,0:32:38,1:06:41,1:32:48,1:54:35,2:14:46,2:34:18,3:01:40.9
Kaasik Hanna-Brita,0:32:03,1:06:00,1:32:56,1:54:37,2:14:49,2:34:44,3:01:50.8
Kulikov Vitaliy,0:32:16,1:05:58,1:32:17,1:54:25,2:14:54,2:34:42,3:01:53.2
Piiroja Raio,0:31:18,1:04:20,1:29:35,1:50:54,2:14:49,2:34:01,3:01:59.6
Rauk Artur,0:31:14,1:04:03,1:29:45,1:51:39,2:12:27,2:33:20,3:02:09.4
Lastochkin Vladislav,0:32:43,1:05:57,1:32:16,1:54:28,2:14:49,2:34:52,3:02:11.2
Anton Cristian,0:31:26,1:04:27,1:30:45,1:53:11,2:14:43,2:34:53,3:02:13.1
Valge Indrek,0:32:26,1:06:03,1:32:28,1:54:34,2:14:46,2:34:38,3:02:13.2
Vimba Janis,0:32:38,1:06:10,1:32:24,1:54:36,2:14:48,2:34:40,3:02:15.3
Schuwey Fabrice,0:30:26,1:02:28,1:28:00,1:50:39,2:11:48,2:33:00,3:02:52.6
Melbardis Janis,0:30:40,1:02:28,1:27:33,1:49:53,2:11:16,2:33:03,3:03:01.1
Voodla Tiit,0:33:33,1:07:42,1:34:28,1:56:39,2:17:05,2:36:31,3:03:13.7
Markss Kaspars,0:32:42,1:06:36,1:33:27,1:55:56,2:16:30,2:36:30,3:03:13.8
Kärp Kevo,0:32:01,1:06:56,1:34:33,1:56:39,2:16:49,2:36:50,3:03:19.2
Nõmm Janno,0:32:58,1:07:27,1:34:04,1:56:33,2:17:10,2:36:50,3:03:21.3
Silvonen Tomi,0:32:37,1:06:40,1:33:07,1:55:34,2:16:19,2:36:50,3:03:23.6
Kiela Dainius,0:31:55,1:06:03,1:32:29,1:54:36,2:15:06,2:35:44,3:03:39.1
Pesor Kaido,0:31:16,1:04:12,1:30:58,1:52:41,2:13:35,2:34:15,3:03:40.9
Sklyadnev Evgeniy,0:33:42,1:07:42,1:34:00,1:56:18,2:16:58,2:36:31,3:03:49.1
Bjerke Ola,0:34:02,1:09:00,1:35:15,1:56:59,2:17:20,2:36:49,3:04:35.1
Arge Endrus,0:32:11,1:06:36,1:32:50,1:54:54,2:15:32,2:36:37,3:04:47.0
Aamisepp Arno,0:33:33,1:07:40,1:34:48,1:56:57,2:17:28,2:37:37,3:04:59.7
Linnus Kristjan,0:32:37,1:07:43,1:34:32,1:56:45,2:17:02,2:37:26,3:05:01.7
Teesaar Egert,0:33:11,1:07:28,1:34:32,1:56:50,2:17:11,2:37:26,3:05:02.6
Haav Viljar,0:31:05,1:04:46,1:31:12,1:53:42,2:14:46,2:35:53,3:05:02.8
Rodendau Janno,0:31:50,1:07:01,1:34:30,1:56:45,2:17:03,2:37:25,3:05:04.1
Teppan Jaak,0:32:52,1:07:40,1:34:37,1:56:55,2:17:37,2:37:39,3:05:05.8
Trumm Aron,0:33:04,1:07:47,1:34:39,1:56:54,2:17:40,2:37:39,3:05:06.7
Laidvee Jaanus,0:31:53,1:06:29,1:33:02,1:55:30,2:16:23,2:36:51,3:05:14.4
Tammemäe Joosep,0:32:02,1:05:24,1:32:04,1:53:05,2:13:54,2:36:36,3:05:16.4
Hussar Aimar,0:32:52,1:07:33,1:34:30,1:56:48,2:17:08,2:37:27,3:05:26.1
Kasemets Anette,0:32:09,1:06:30,1:32:43,1:54:36,2:15:16,2:36:28,3:05:52.5
Salmi Jari,0:31:56,1:06:31,1:33:48,1:56:34,2:17:40,2:37:57,3:06:11.4
Rästa Ain,0:33:36,1:07:45,1:34:34,1:56:52,2:17:17,2:37:51,3:06:29.3
Aim Allan,0:31:37,1:06:09,1:32:44,1:55:07,2:16:30,2:37:31,3:06:35.9
Mannine Sulo,0:32:49,1:07:27,1:34:42,1:56:50,2:17:15,2:38:07,3:06:40.2
Nurk Hugo Johannes,0:33:11,1:08:04,1:35:55,1:58:25,2:19:31,2:39:50,3:06:51.7
Romanenkov Valeriy,0:33:31,1:07:41,1:34:34,1:56:47,2:18:05,2:39:04,3:06:52.3
Reinsalu Toomas,0:32:14,1:07:20,1:34:36,1:58:02,2:19:22,2:39:46,3:06:55.7
Pavlenkov Oleg,0:32:35,1:06:39,1:33:13,1:55:49,2:17:05,2:38:00,3:07:09.0
Kalamees Mikk,0:32:45,1:07:17,1:34:29,1:56:48,2:17:11,2:38:08,3:07:16.7
Rakaselg Jaan,0:33:41,1:08:39,1:35:56,1:58:25,2:19:31,2:39:50,3:07:24.2
Melnikov Oleg,0:33:24,1:08:23,1:35:55,1:58:39,2:19:51,2:40:23,3:07:38.1
Antokhin Yury,0:33:35,1:08:08,1:35:02,1:57:37,2:18:52,2:39:13,3:07:38.8
Sedlenieks Ivars,0:34:07,1:09:43,1:37:02,1:59:27,2:20:27,2:40:21,3:07:38.9
Einsalu Ants,0:33:43,1:08:22,1:36:03,1:58:36,2:19:50,2:40:23,3:07:40.6
Kilk Ain,0:32:40,1:06:59,1:34:33,1:56:57,2:18:05,2:39:12,3:07:41.0
Shashin Alexander,0:33:36,1:08:02,1:35:00,1:57:40,2:18:51,2:39:21,3:07:41.8
Rei Tarmo,0:32:38,1:07:21,1:34:36,1:56:54,2:17:49,2:39:10,3:07:42.0
Järve Alo,0:32:16,1:07:01,1:34:30,1:56:52,2:17:49,2:39:11,3:07:47.3
